0.64,12.4,8.6,1.18,13.56,0,67.54,0
1.18,21.9,6.2,1.55,21.17,0,56.11,0
1.8,32.3,1.88,1.6,27.72,0,46.3,0
2.03,37.9,6.2,1.54,29.76,0,44.1,0
2.78,53.1,9.5,1.46,36.4,0,37.67,0
3,62.4,11,1.62,38.08,0,35.56,0
3.64,68,6.2,2.96,42.4,0,30.26,0
4.19,78,7.98,5.28,45.43,0,25.29,0
4.6,82.3,6.2,6.86,46.43,0,21.07,0
5.14,85.7,6.3,8.92,47.19,0,19.58,0
5.39,85.5,6.51,9.95,47.91,0,19.11,0
6.31,89.5,15.6,14.48,50.48,0,14.95,0
9.1,95.2,15.5,26.69,51.31,0,7.98,0
10.17,97.5,6.2,29.9,52.01,0,6.77,0
11.99,101,10.2,33.72,51.6,0,4.47,0
14.02,107,10.7,36.41,50.13,0,3.11,0
15.94,117,11.7,38.69,49.27,0,2.41,0
17.98,120,12,39,48.97,0,1.66,0
